dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,29,406,TABU_A,2158.0,2020,0.06831683168316832,17.3287,15,15,0.2
instancias-tsplib,29,406,TABU_S,2139.0,2020,0.05891089108910891,6.32409,15,15,0.2
instancias-tsplib,29,406,TABU_A,2139.0,2020,0.05891089108910891,37.4791,15,15,0.5
instancias-tsplib,29,406,TABU_S,2064.0,2020,0.02178217821782178,8.59859,15,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,68.3444,15,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.3894,15,15,1.0
instancias-tsplib,29,406,TABU_A,2186.0,2020,0.08217821782178218,17.9415,16,15,0.2
instancias-tsplib,29,406,TABU_S,2209.0,2020,0.09356435643564356,6.58301,16,15,0.2
instancias-tsplib,29,406,TABU_A,2104.0,2020,0.041584158415841586,37.6763,16,15,0.5
instancias-tsplib,29,406,TABU_S,2052.0,2020,0.015841584158415842,8.74154,16,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,72.9093,16,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,13.7202,16,15,1.0
instancias-tsplib,29,406,TABU_A,2179.0,2020,0.07871287128712871,18.6519,17,15,0.2
instancias-tsplib,29,406,TABU_S,2112.0,2020,0.04554455445544554,7.71789,17,15,0.2
instancias-tsplib,29,406,TABU_A,2100.0,2020,0.039603960396039604,39.9415,17,15,0.5
instancias-tsplib,29,406,TABU_S,2079.0,2020,0.02920792079207921,9.05034,17,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,75.0703,17,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.8544,17,15,1.0
instancias-tsplib,29,406,TABU_A,2126.0,2020,0.05247524752475247,18.155,18,15,0.2
instancias-tsplib,29,406,TABU_S,2107.0,2020,0.043069306930693066,6.31291,18,15,0.2
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,37.5872,18,15,0.5
instancias-tsplib,29,406,TABU_S,2067.0,2020,0.023267326732673267,8.77299,18,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,69.8573,18,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.5825,18,15,1.0
instancias-tsplib,29,406,TABU_A,2179.0,2020,0.07871287128712871,18.0821,19,15,0.2
instancias-tsplib,29,406,TABU_S,2139.0,2020,0.05891089108910891,6.45964,19,15,0.2
instancias-tsplib,29,406,TABU_A,2112.0,2020,0.04554455445544554,37.9849,19,15,0.5
instancias-tsplib,29,406,TABU_S,2064.0,2020,0.02178217821782178,8.76054,19,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,69.8093,19,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.5454,19,15,1.0
instancias-tsplib,29,406,TABU_A,2230.0,2020,0.10396039603960396,18.4964,20,15,0.2
instancias-tsplib,29,406,TABU_S,2112.0,2020,0.04554455445544554,6.21755,20,15,0.2
instancias-tsplib,29,406,TABU_A,2139.0,2020,0.05891089108910891,37.7785,20,15,0.5
instancias-tsplib,29,406,TABU_S,2066.0,2020,0.02277227722772277,8.92613,20,15,0.5
instancias-tsplib,29,406,TABU_A,2060.0,2020,0.019801980198019802,68.3874,20,15,1.0
instancias-tsplib,29,406,TABU_S,2039.0,2020,0.009405940594059406,12.4403,20,15,1.0
instancias-tsplib,29,406,TABU_A,2112.0,2020,0.04554455445544554,18.1508,21,15,0.2
instancias-tsplib,29,406,TABU_S,2100.0,2020,0.039603960396039604,6.71364,21,15,0.2
