dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones
aleatorias-complejidad,47,1081,VEC,161.0,-,-,0.091767,-,-
aleatorias-complejidad,47,1081,AGM,559.0,-,-,0.213027,-,-
aleatorias-complejidad,47,1081,TABU_A,141.0,-,-,49.2091,3,5
aleatorias-complejidad,47,1081,TABU_S,100.0,-,-,14.3501,3,5
aleatorias-complejidad,48,1128,INS,269.0,-,-,1.19694,-,-
aleatorias-complejidad,48,1128,VEC,210.0,-,-,0.087752,-,-
aleatorias-complejidad,48,1128,AGM,660.0,-,-,0.173703,-,-
aleatorias-complejidad,48,1128,TABU_A,175.0,-,-,53.3327,3,5
aleatorias-complejidad,48,1128,TABU_S,135.0,-,-,15.3888,3,5
aleatorias-complejidad,49,1176,INS,216.0,-,-,1.32548,-,-
aleatorias-complejidad,49,1176,VEC,116.0,-,-,0.096204,-,-
aleatorias-complejidad,49,1176,AGM,661.0,-,-,0.210062,-,-
aleatorias-complejidad,49,1176,TABU_A,109.0,-,-,57.187,3,5
aleatorias-complejidad,49,1176,TABU_S,106.0,-,-,16.2773,3,5
aleatorias-complejidad,50,1225,INS,225.0,-,-,1.30059,-,-
aleatorias-complejidad,50,1225,VEC,199.0,-,-,0.094835,-,-
aleatorias-complejidad,50,1225,AGM,584.0,-,-,0.186171,-,-
aleatorias-complejidad,50,1225,TABU_A,165.0,-,-,57.7319,3,5
aleatorias-complejidad,50,1225,TABU_S,136.0,-,-,15.9233,3,5
aleatorias-complejidad,51,1275,INS,255.0,-,-,1.48981,-,-
aleatorias-complejidad,51,1275,VEC,155.0,-,-,0.092932,-,-
aleatorias-complejidad,51,1275,AGM,381.0,-,-,0.191934,-,-
aleatorias-complejidad,51,1275,TABU_A,129.0,-,-,63.3445,3,5
aleatorias-complejidad,51,1275,TABU_S,88.0,-,-,16.8417,3,5
aleatorias-complejidad,52,1326,INS,214.0,-,-,1.52313,-,-
aleatorias-complejidad,52,1326,VEC,209.0,-,-,0.129491,-,-
aleatorias-complejidad,52,1326,AGM,662.0,-,-,0.199377,-,-
aleatorias-complejidad,52,1326,TABU_A,165.0,-,-,65.1771,3,5
aleatorias-complejidad,52,1326,TABU_S,121.0,-,-,17.364,3,5
aleatorias-complejidad,53,1378,INS,250.0,-,-,1.48298,-,-
aleatorias-complejidad,53,1378,VEC,234.0,-,-,0.099186,-,-
aleatorias-complejidad,53,1378,AGM,632.0,-,-,0.217458,-,-
aleatorias-complejidad,53,1378,TABU_A,199.0,-,-,69.5901,3,5
aleatorias-complejidad,53,1378,TABU_S,129.0,-,-,17.3833,3,5
aleatorias-complejidad,54,1431,INS,235.0,-,-,1.55965,-,-
aleatorias-complejidad,54,1431,VEC,144.0,-,-,0.099843,-,-
aleatorias-complejidad,54,1431,AGM,544.0,-,-,0.205915,-,-
aleatorias-complejidad,54,1431,TABU_A,129.0,-,-,71.3042,3,5
aleatorias-complejidad,54,1431,TABU_S,105.0,-,-,18.5438,3,5
aleatorias-complejidad,55,1485,INS,253.0,-,-,1.58728,-,-
aleatorias-complejidad,55,1485,VEC,198.0,-,-,0.10441,-,-
aleatorias-complejidad,55,1485,AGM,781.0,-,-,0.216362,-,-
aleatorias-complejidad,55,1485,TABU_A,166.0,-,-,74.2354,3,5
aleatorias-complejidad,55,1485,TABU_S,141.0,-,-,19.9639,3,5
aleatorias-complejidad,56,1540,INS,293.0,-,-,1.66852,-,-
aleatorias-complejidad,56,1540,VEC,225.0,-,-,0.104068,-,-
aleatorias-complejidad,56,1540,AGM,785.0,-,-,0.264135,-,-
aleatorias-complejidad,56,1540,TABU_A,182.0,-,-,79.9607,3,5
aleatorias-complejidad,56,1540,TABU_S,133.0,-,-,19.5745,3,5
aleatorias-complejidad,57,1596,INS,315.0,-,-,1.66674,-,-
aleatorias-complejidad,57,1596,VEC,277.0,-,-,0.11053,-,-
aleatorias-complejidad,57,1596,AGM,848.0,-,-,0.255775,-,-
aleatorias-complejidad,57,1596,TABU_A,241.0,-,-,83.1222,3,5
aleatorias-complejidad,57,1596,TABU_S,187.0,-,-,20.5066,3,5
aleatorias-complejidad,58,1653,INS,283.0,-,-,1.78999,-,-
aleatorias-complejidad,58,1653,VEC,226.0,-,-,0.108756,-,-
aleatorias-complejidad,58,1653,AGM,826.0,-,-,0.244484,-,-
aleatorias-complejidad,58,1653,TABU_A,190.0,-,-,86.7946,3,5
aleatorias-complejidad,58,1653,TABU_S,152.0,-,-,20.7392,3,5
aleatorias-complejidad,59,1711,INS,294.0,-,-,1.79928,-,-
aleatorias-complejidad,59,1711,VEC,170.0,-,-,0.105102,-,-
aleatorias-complejidad,59,1711,AGM,756.0,-,-,0.238556,-,-
aleatorias-complejidad,59,1711,TABU_A,160.0,-,-,90.7599,3,5
aleatorias-complejidad,59,1711,TABU_S,145.0,-,-,21.2534,3,5
aleatorias-complejidad,60,1770,INS,349.0,-,-,1.81612,-,-
aleatorias-complejidad,60,1770,VEC,264.0,-,-,0.107964,-,-
aleatorias-complejidad,60,1770,AGM,823.0,-,-,0.233207,-,-
aleatorias-complejidad,60,1770,TABU_A,218.0,-,-,94.3274,3,5
aleatorias-complejidad,60,1770,TABU_S,157.0,-,-,22.3418,3,5
aleatorias-complejidad,61,1830,INS,281.0,-,-,2.01476,-,-
aleatorias-complejidad,61,1830,VEC,150.0,-,-,0.116854,-,-
aleatorias-complejidad,61,1830,AGM,830.0,-,-,0.272229,-,-
aleatorias-complejidad,61,1830,TABU_A,134.0,-,-,102.371,3,5
aleatorias-complejidad,61,1830,TABU_S,111.0,-,-,23.8588,3,5
aleatorias-complejidad,62,1891,INS,331.0,-,-,2.29833,-,-
aleatorias-complejidad,62,1891,VEC,202.0,-,-,0.159731,-,-
aleatorias-complejidad,62,1891,AGM,923.0,-,-,0.526685,-,-
aleatorias-complejidad,62,1891,TABU_A,186.0,-,-,142.443,3,5
aleatorias-complejidad,62,1891,TABU_S,150.0,-,-,27.3621,3,5
aleatorias-complejidad,63,1953,INS,311.0,-,-,2.22409,-,-
aleatorias-complejidad,63,1953,VEC,263.0,-,-,0.125915,-,-
aleatorias-complejidad,63,1953,AGM,942.0,-,-,0.277094,-,-
aleatorias-complejidad,63,1953,TABU_A,227.0,-,-,112.618,3,5
aleatorias-complejidad,63,1953,TABU_S,161.0,-,-,27.4558,3,5
aleatorias-complejidad,64,2016,INS,324.0,-,-,2.16349,-,-
aleatorias-complejidad,64,2016,VEC,240.0,-,-,0.121396,-,-
aleatorias-complejidad,64,2016,AGM,664.0,-,-,0.26928,-,-
aleatorias-complejidad,64,2016,TABU_A,206.0,-,-,113.743,3,5
aleatorias-complejidad,64,2016,TABU_S,163.0,-,-,27.1311,3,5
aleatorias-complejidad,65,2080,INS,306.0,-,-,2.2782,-,-
aleatorias-complejidad,65,2080,VEC,237.0,-,-,0.126514,-,-
aleatorias-complejidad,65,2080,AGM,845.0,-,-,0.270024,-,-
aleatorias-complejidad,65,2080,TABU_A,215.0,-,-,117.35,3,5
aleatorias-complejidad,65,2080,TABU_S,184.0,-,-,27.8422,3,5
aleatorias-complejidad,66,2145,INS,365.0,-,-,2.43493,-,-
aleatorias-complejidad,66,2145,VEC,276.0,-,-,0.135826,-,-
aleatorias-complejidad,66,2145,AGM,782.0,-,-,0.294283,-,-
aleatorias-complejidad,66,2145,TABU_A,251.0,-,-,134.703,3,5
aleatorias-complejidad,66,2145,TABU_S,185.0,-,-,32.8554,3,5
aleatorias-complejidad,67,2211,INS,339.0,-,-,2.43429,-,-
aleatorias-complejidad,67,2211,VEC,307.0,-,-,0.131537,-,-
aleatorias-complejidad,67,2211,AGM,912.0,-,-,0.312924,-,-
