dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,2.29176,3,26,0.3
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,2.2931,3,27,0.3
instancias-tsplib,14,91,TABU_S,3686.0,3323,0.10923863978332832,2.51589,3,28,0.3
instancias-tsplib,14,91,TABU_S,3461.0,3323,0.04152873909118267,2.32686,3,29,0.3
instancias-tsplib,14,91,TABU_S,3536.0,3323,0.06409870598856456,2.40425,3,30,0.3
instancias-tsplib,14,91,TABU_S,3814.0,3323,0.14775804995486005,2.55677,3,31,0.3
instancias-tsplib,14,91,TABU_S,3690.0,3323,0.11044237135118869,2.64003,3,32,0.3
instancias-tsplib,14,91,TABU_S,3599.0,3323,0.08305747818236534,2.83261,3,33,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,3.16856,3,34,0.3
instancias-tsplib,14,91,TABU_S,3679.0,3323,0.10713210953957268,3.38469,3,35,0.3
instancias-tsplib,14,91,TABU_S,3394.0,3323,0.021366235329521515,3.11357,3,36,0.3
instancias-tsplib,14,91,TABU_S,3599.0,3323,0.08305747818236534,3.6127,3,37,0.3
instancias-tsplib,14,91,TABU_S,3416.0,3323,0.027986758952753536,4.01705,3,38,0.3
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,3.4807,3,39,0.3
instancias-tsplib,14,91,TABU_S,3495.0,3323,0.05176045741799579,4.70494,3,40,0.3
instancias-tsplib,14,91,TABU_S,3559.0,3323,0.07102016250376166,3.59684,3,41,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,3.85279,3,42,0.3
instancias-tsplib,14,91,TABU_S,3846.0,3323,0.157387902497743,3.70126,3,43,0.3
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,3.60331,3,44,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,3.75252,3,45,0.3
instancias-tsplib,14,91,TABU_S,3648.0,3323,0.09780318988865483,4.02162,3,46,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,4.101,3,47,0.3
instancias-tsplib,14,91,TABU_S,3768.0,3323,0.13391513692446586,3.95703,3,48,0.3
instancias-tsplib,14,91,TABU_S,3881.0,3323,0.1679205537165212,4.56627,3,49,0.3
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,4.08277,3,50,0.3
instancias-tsplib,14,91,TABU_S,3394.0,3323,0.021366235329521515,4.431,3,51,0.3
instancias-tsplib,14,91,TABU_S,3416.0,3323,0.027986758952753536,4.41559,3,52,0.3
instancias-tsplib,14,91,TABU_S,3814.0,3323,0.14775804995486005,4.40492,3,53,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,4.42505,3,54,0.3
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,4.40978,3,55,0.3
instancias-tsplib,14,91,TABU_S,3620.0,3323,0.08937706891363226,4.64603,3,56,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,4.66193,3,57,0.3
instancias-tsplib,14,91,TABU_S,3500.0,3323,0.053265121877821245,4.65968,3,58,0.3
instancias-tsplib,14,91,TABU_S,3442.0,3323,0.03581101414384592,4.91385,3,59,0.3
instancias-tsplib,14,91,TABU_S,3626.0,3323,0.0911826662654228,4.70623,3,60,0.3
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,5.1506,3,61,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,4.98182,3,62,0.3
instancias-tsplib,14,91,TABU_S,3679.0,3323,0.10713210953957268,5.25017,3,63,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,5.4124,3,64,0.3
instancias-tsplib,14,91,TABU_S,3455.0,3323,0.039723141739392114,5.29244,3,65,0.3
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,5.57719,3,66,0.3
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,5.49059,3,67,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,5.67626,3,68,0.3
instancias-tsplib,14,91,TABU_S,3416.0,3323,0.027986758952753536,5.52158,3,69,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,5.81554,3,70,0.3
instancias-tsplib,14,91,TABU_S,3577.0,3323,0.07643695455913331,5.79578,3,71,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,5.89809,3,72,0.3
instancias-tsplib,14,91,TABU_S,3554.0,3323,0.0695154980439362,6.08743,3,73,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,5.9889,3,74,0.3
instancias-tsplib,14,91,TABU_S,3490.0,3323,0.05025579295817033,6.23279,3,75,0.3
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,6.33728,3,76,0.3
instancias-tsplib,14,91,TABU_S,3577.0,3323,0.07643695455913331,6.1173,3,77,0.3
instancias-tsplib,14,91,TABU_S,3722.0,3323,0.12007222389407163,6.22673,3,78,0.3
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,6.39115,3,79,0.3
instancias-tsplib,14,91,TABU_S,3442.0,3323,0.03581101414384592,6.30189,3,80,0.3
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,6.44572,3,81,0.3
instancias-tsplib,14,91,TABU_S,3461.0,3323,0.04152873909118267,6.73617,3,82,0.3
instancias-tsplib,14,91,TABU_S,3442.0,3323,0.03581101414384592,7.19591,3,83,0.3
instancias-tsplib,14,91,TABU_S,3686.0,3323,0.10923863978332832,6.99387,3,84,0.3
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,6.84163,3,85,0.3
instancias-tsplib,14,91,TABU_S,3744.0,3323,0.12669274751730364,7.1796,3,86,0.3
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,7.02784,3,87,0.3
instancias-tsplib,14,91,TABU_S,3881.0,3323,0.1679205537165212,7.16761,3,88,0.3
instancias-tsplib,14,91,TABU_S,3814.0,3323,0.14775804995486005,7.33147,3,89,0.3
instancias-tsplib,14,91,TABU_S,3641.0,3323,0.09569665964489919,7.44168,3,90,0.3
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,9.14736,3,91,0.3
instancias-tsplib,14,91,TABU_S,3439.0,3323,0.03490821546795065,7.72481,3,92,0.3
instancias-tsplib,14,91,TABU_S,3439.0,3323,0.03490821546795065,7.70587,3,93,0.3
instancias-tsplib,14,91,TABU_S,3686.0,3323,0.10923863978332832,7.35664,3,94,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,7.76043,3,95,0.3
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,7.89143,3,96,0.3
instancias-tsplib,14,91,TABU_S,3881.0,3323,0.1679205537165212,8.23584,3,97,0.3
instancias-tsplib,14,91,TABU_S,3535.0,3323,0.06379777309659945,7.90653,3,98,0.3
instancias-tsplib,14,91,TABU_S,3779.0,3323,0.13722539873608186,8.05113,3,99,0.3
instancias-tsplib,14,91,TABU_S,3489.0,3323,0.04995486006620524,8.2185,3,100,0.3
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.322638,3,5,0.01
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.30774,3,5,0.01
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.351051,3,5,0.02
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.328753,3,5,0.03
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.345365,3,5,0.04
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.349846,3,5,0.05
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.335884,3,5,0.06
instancias-tsplib,14,91,TABU_S,4017.0,3323,0.2088474270237737,0.344886,3,5,0.07
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.363452,3,5,0.08
instancias-tsplib,14,91,TABU_S,4030.0,3323,0.2127595546193199,0.345508,3,5,0.09
instancias-tsplib,14,91,TABU_S,4017.0,3323,0.2088474270237737,0.363183,3,5,0.1
instancias-tsplib,14,91,TABU_S,4017.0,3323,0.2088474270237737,0.404042,3,5,0.11
instancias-tsplib,14,91,TABU_S,4048.0,3323,0.21817634667469155,0.359511,3,5,0.12
instancias-tsplib,14,91,TABU_S,3881.0,3323,0.1679205537165212,0.415588,3,5,0.13
instancias-tsplib,14,91,TABU_S,3734.0,3323,0.12368341859765272,0.399082,3,5,0.14
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,0.386934,3,5,0.15
instancias-tsplib,14,91,TABU_S,3745.0,3323,0.12699368040926873,0.395824,3,5,0.16
instancias-tsplib,14,91,TABU_S,3881.0,3323,0.1679205537165212,0.395048,3,5,0.17
instancias-tsplib,14,91,TABU_S,3769.0,3323,0.13421606981643094,0.397154,3,5,0.18
instancias-tsplib,14,91,TABU_S,4008.0,3323,0.20613903099608788,0.446665,3,5,0.19
instancias-tsplib,14,91,TABU_S,3845.0,3323,0.15708696960577792,0.401923,3,5,0.2
instancias-tsplib,14,91,TABU_S,3721.0,3323,0.11977129100210653,0.410343,3,5,0.21
