dataset,n,m,metodo,obtenido,optimo,gap_relativo,tiempo,k,iteraciones,porcentaje
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,2182.94,130,6,0.8
instancias-tsplib,130,8385,TABU_S,6920.0,6110,0.132569558101473,181.853,130,6,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,2709.26,130,6,1.0
instancias-tsplib,130,8385,TABU_S,6915.0,6110,0.13175122749590834,215.036,130,6,1.0
instancias-tsplib,130,8385,TABU_A,7517.0,6110,0.23027823240589199,398.478,130,4,0.2
instancias-tsplib,130,8385,TABU_S,7213.0,6110,0.18052373158756138,64.0455,130,4,0.2
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,756.051,130,4,0.4
instancias-tsplib,130,8385,TABU_S,7122.0,6110,0.1656301145662848,84.0815,130,4,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,1120.53,130,4,0.6
instancias-tsplib,130,8385,TABU_S,7090.0,6110,0.16039279869067102,100.953,130,4,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,1451.92,130,4,0.8
instancias-tsplib,130,8385,TABU_S,7049.0,6110,0.15368248772504092,118.36,130,4,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,1818.61,130,4,1.0
instancias-tsplib,130,8385,TABU_S,7049.0,6110,0.15368248772504092,139.664,130,4,1.0
instancias-tsplib,130,8385,TABU_A,7491.0,6110,0.2260229132569558,200.376,130,2,0.2
instancias-tsplib,130,8385,TABU_S,7387.0,6110,0.20900163666121113,32.9966,130,2,0.2
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,375.744,130,2,0.4
instancias-tsplib,130,8385,TABU_S,7360.0,6110,0.20458265139116202,41.8078,130,2,0.4
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,553.179,130,2,0.6
instancias-tsplib,130,8385,TABU_S,7268.0,6110,0.1895253682487725,50.723,130,2,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,734.886,130,2,0.8
instancias-tsplib,130,8385,TABU_S,7284.0,6110,0.1921440261865794,58.4615,130,2,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,909.467,130,2,1.0
instancias-tsplib,130,8385,TABU_S,7268.0,6110,0.1895253682487725,68.4064,130,2,1.0
instancias-tsplib,130,8385,TABU_A,7467.0,6110,0.2220949263502455,2963.69,120,30,0.2
instancias-tsplib,130,8385,TABU_S,6704.0,6110,0.0972176759410802,493.874,120,30,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,5601.12,120,30,0.4
instancias-tsplib,130,8385,TABU_S,6567.0,6110,0.07479541734860884,659.495,120,30,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,8213.09,120,30,0.6
instancias-tsplib,130,8385,TABU_S,6492.0,6110,0.06252045826513912,818.84,120,30,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,10840.7,120,30,0.8
instancias-tsplib,130,8385,TABU_S,6550.0,6110,0.07201309328968904,965.572,120,30,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,13484.0,120,30,1.0
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,1143.69,120,30,1.0
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,2773.18,120,28,0.2
instancias-tsplib,130,8385,TABU_S,6692.0,6110,0.09525368248772505,461.614,120,28,0.2
instancias-tsplib,130,8385,TABU_A,7382.0,6110,0.20818330605564647,5230.05,120,28,0.4
instancias-tsplib,130,8385,TABU_S,6482.0,6110,0.06088379705400982,619.342,120,28,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7677.82,120,28,0.6
instancias-tsplib,130,8385,TABU_S,6574.0,6110,0.07594108019639935,761.627,120,28,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,10086.5,120,28,0.8
instancias-tsplib,130,8385,TABU_S,6493.0,6110,0.06268412438625205,907.482,120,28,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,12599.1,120,28,1.0
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,1061.25,120,28,1.0
instancias-tsplib,130,8385,TABU_A,7495.0,6110,0.22667757774140754,2578.3,120,26,0.2
instancias-tsplib,130,8385,TABU_S,6780.0,6110,0.10965630114566285,430.763,120,26,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,4856.73,120,26,0.4
instancias-tsplib,130,8385,TABU_S,6578.0,6110,0.07659574468085106,561.16,120,26,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7146.28,120,26,0.6
instancias-tsplib,130,8385,TABU_S,6564.0,6110,0.07430441898527004,704.453,120,26,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,9426.35,120,26,0.8
instancias-tsplib,130,8385,TABU_S,6492.0,6110,0.06252045826513912,830.279,120,26,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,11705.6,120,26,1.0
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,988.139,120,26,1.0
instancias-tsplib,130,8385,TABU_A,7491.0,6110,0.2260229132569558,2383.56,120,24,0.2
instancias-tsplib,130,8385,TABU_S,6627.0,6110,0.08461538461538462,392.791,120,24,0.2
instancias-tsplib,130,8385,TABU_A,7465.0,6110,0.22176759410801963,4479.46,120,24,0.4
instancias-tsplib,130,8385,TABU_S,6621.0,6110,0.08363338788870704,522.447,120,24,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,6585.38,120,24,0.6
instancias-tsplib,130,8385,TABU_S,6619.0,6110,0.08330605564648118,655.911,120,24,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,8693.82,120,24,0.8
instancias-tsplib,130,8385,TABU_S,6584.0,6110,0.07757774140752864,767.47,120,24,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,10779.7,120,24,1.0
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,907.198,120,24,1.0
instancias-tsplib,130,8385,TABU_A,7508.0,6110,0.22880523731587563,2176.52,120,22,0.2
instancias-tsplib,130,8385,TABU_S,6775.0,6110,0.1088379705400982,364.027,120,22,0.2
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,4102.95,120,22,0.4
instancias-tsplib,130,8385,TABU_S,6610.0,6110,0.08183306055646482,472.151,120,22,0.4
instancias-tsplib,130,8385,TABU_A,7447.0,6110,0.2188216039279869,6012.83,120,22,0.6
instancias-tsplib,130,8385,TABU_S,6580.0,6110,0.07692307692307693,595.302,120,22,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7948.6,120,22,0.8
instancias-tsplib,130,8385,TABU_S,6567.0,6110,0.07479541734860884,700.226,120,22,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,9900.65,120,22,1.0
instancias-tsplib,130,8385,TABU_S,6479.0,6110,0.06039279869067103,826.851,120,22,1.0
instancias-tsplib,130,8385,TABU_A,7495.0,6110,0.22667757774140754,1992.24,120,20,0.2
instancias-tsplib,130,8385,TABU_S,6750.0,6110,0.10474631751227496,332.233,120,20,0.2
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,3738.62,120,20,0.4
instancias-tsplib,130,8385,TABU_S,6601.0,6110,0.08036006546644844,428.815,120,20,0.4
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,5521.47,120,20,0.6
instancias-tsplib,130,8385,TABU_S,6578.0,6110,0.07659574468085106,532.273,120,20,0.6
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,7224.18,120,20,0.8
instancias-tsplib,130,8385,TABU_S,6618.0,6110,0.08314238952536825,628.744,120,20,0.8
instancias-tsplib,130,8385,TABU_A,7431.0,6110,0.21620294599018003,8975.38,120,20,1.0
instancias-tsplib,130,8385,TABU_S,6480.0,6110,0.060556464811783964,745.808,120,20,1.0
